and	37562	0.02270405125022723
in	22715	0.01693401282509355
of	31088	0.01621314979533758
to	35935	0.01361177451404429
the	73155	0.01273733631707944
that	18337	0.01070011471124734
on	10297	0.00923958352922003
with	10028	0.00889168876268562
for	9296	0.00835260858391159
a	36543	0.00762547717998383
at	8022	0.00722116704590330
from	5821	0.00649716982906144
was	21721	0.00627777673304875
as	7643	0.00582958797976569
her	13572	0.00575436748970420
it	13364	0.00554751114203509
or	4289	0.00517767706589942
by	4016	0.00498022327948800
his	11550	0.00491127116359830
had	12388	0.00460412082918054
is	7822	0.00445994822322934
into	3427	0.00395847828948606
out	4662	0.00382684243187844
were	5800	0.00361998608420934
him	5581	0.00325955456933135
he	15557	0.00300568541537381
up	4378	0.00297120935742896
them	3530	0.00295867260908538
when	3395	0.00287404955776620
about	3997	0.00277062138393165
you	8741	0.00271107182929963
she	11894	0.00250734966871642
over	2025	0.00250108129454463
like	4004	0.00247914198494337
but	5651	0.00245093430117031
their	3527	0.00239765312071008
would	4683	0.00231616425647680
my	4813	0.00231303006939090
i	20048	0.00229735913396142
one	4252	0.00227541982436016
are	3249	0.00227228563727426
me	4737	0.00224721214058710
around	1497	0.00220646770847045
through	1584	0.00216572327635381
down	2057	0.00213438140549486
all	3774	0.00210930790880769
this	4349	0.00210303953463590
an	4607	0.00206542928960516
who	3669	0.00206229510251926
back	2807	0.00204662416708978
so	3459	0.00198707461245777
off	1599	0.00192439087073986
before	1557	0.00177081570353098
they	5558	0.00173633964558612
now	2031	0.00170499777472717
again	1263	0.00165171659426695
there	3521	0.00162350891049389
more	2347	0.00156082516877597
than	1730	0.00147620211745680
could	3967	0.00139471325322351
has	2161	0.00136963975653635
under	744	0.00134456625984918
against	724	0.00134456625984918
what	3500	0.00134143207276329
people	2007	0.00133202951150560
some	2026	0.00132262695024791
if	3432	0.00132262695024791
only	1970	0.00131635857607612
have	4974	0.00130382182773254
its	1633	0.00129755345356075
after	1587	0.00129128507938896
away	1200	0.00129128507938896
not	5881	0.00128501670521717
your	1894	0.00128501670521717
himself	876	0.00126934576978769
between	674	0.00126621158270179
we	3262	0.00118785690555441
where	1761	0.00118785690555441
across	617	0.00117218597012493
without	758	0.00115338084760956
until	754	0.00114711247343776
here	1199	0.00110950222840702
did	3973	0.00110323385423523
while	1104	0.00110009966714933
will	1314	0.00109696548006344
just	2706	0.00106248942211859
our	1266	0.00105622104794679
behind	625	0.00103741592543142
came	1127	0.00102487917708784
us	1277	0.00102487917708784
made	1585	0.00102174499000194
every	753	0.00100920824165836
things	962	0.00096219543536993
because	1551	0.00094965868702635
together	502	0.00093712193868276
something	1413	0.00093398775159687
can	1855	0.00093085356451097
inside	560	0.00090891425490970
herself	588	0.00090264588073791
toward	537	0.00088384075822254
no	2802	0.00088070657113664
any	1051	0.00087130400987896
right	1315	0.00085876726153538
might	1049	0.00085249888736358
two	1710	0.00085249888736358
said	7995	0.00083682795193411
along	525	0.00080235189398926
outside	454	0.00079608351981746
these	869	0.00079294933273157
each	765	0.00078981514564567
too	1543	0.00078668095855978
seemed	980	0.00078041258438799
even	1847	0.00077727839730209
enough	654	0.00076787583604441
how	1804	0.00076160746187261
time	2571	0.00070832628141239
still	1378	0.00070832628141239
everything	582	0.00068011859763933
life	1297	0.00067698441055343
do	3715	0.00067071603638164
man	1701	0.00067071603638164
called	898	0.00066758184929575
being	950	0.00065817928803806
three	831	0.00065817928803806
went	1238	0.00065504510095217
way	1896	0.00065504510095217
myself	389	0.00065191091386627
thing	870	0.00062997160426500
white	706	0.00062056904300732
light	643	0.00061743485592142
itself	272	0.00061743485592142
such	649	0.00061116648174963
left	955	0.00060489810757784
little	1375	0.00060489810757784
another	964	0.00060176392049194
very	1014	0.00059862973340605
those	849	0.00059549554632015
above	308	0.00058922717214836
during	352	0.00058609298506246
work	951	0.00058295879797657
anything	714	0.00057982461089067
themselves	259	0.00057982461089067
almost	653	0.00057669042380478
face	1081	0.00057355623671888
home	1000	0.00057042204963299
other	1932	0.00056728786254709
much	1134	0.00055788530128940
open	535	0.00055788530128940
since	522	0.00055475111420351
looked	1189	0.00054848274003172
room	1179	0.00054848274003172
long	1225	0.00054534855294582
onto	312	0.00054534855294582
look	944	0.00053594599168814
black	566	0.00053281180460224
once	748	0.00052967761751634
next	874	0.00052654343043045
water	775	0.00052340924334455
part	554	0.00052027505625866
near	294	0.00051714086917276
then	2701	0.00051087249500097
began	579	0.00050773830791508
going	1249	0.00050146993374328
good	1107	0.00049833574665739
took	1071	0.00049520155957149
past	469	0.00049206737248560
be	5442	0.00048579899831381
among	276	0.00048579899831381
alone	393	0.00047953062414202
turned	801	0.00047953062414202
told	1673	0.00047639643705612
nothing	786	0.00047326224997023
got	1360	0.00047326224997023
within	220	0.00047012806288433
most	881	0.00047012806288433
first	1440	0.00047012806288433
set	491	0.00046699387579843
both	594	0.00046699387579843
men	600	0.00046699387579843
old	1057	0.00046385968871254
does	946	0.00046385968871254
woman	1204	0.00046072550162664
place	805	0.00045759131454075
used	609	0.00045445712745485
hard	547	0.00045445712745485
someone	590	0.00045445712745485
coming	416	0.00045445712745485
started	582	0.00045132294036896
women	576	0.00044818875328306
looking	629	0.00044505456619717
day	1440	0.00044192037911127
years	1368	0.00043565200493948
new	897	0.00043565200493948
half	459	0.00043251781785358
became	423	0.00043251781785358
later	680	0.00042938363076769
yet	437	0.00042624944368179
many	823	0.00042311525659590
ever	598	0.00041998106951000
voice	547	0.00041998106951000
several	325	0.00041998106951000
asked	1335	0.00041684688242411
go	1503	0.00041057850825231
